Date,NORESTE 3 CO ppm,NORESTE 3 NO ppb,NORESTE 3 NO2 ppb,NORESTE 3 NOX ppb,NORESTE 3 O3 ppb,NORESTE 3 PM10 ug/m3,NORESTE 3 PM2.5 ug/m3,NORESTE 3 PRS mmhg,NORESTE 3 RAINF mm/hr,NORESTE 3 RH %,NORESTE 3 SO2 ppb,NORESTE 3 SR KW/m2,NORESTE 3 TOUT degC,NORESTE 3 WSR KMPH,NORESTE 3 WDR DEG
2023-01-01 00:00:00,0.832,12.7,14.9,26.4,5.9,73.0,11.666,729.0,0.0,77.0,2.7,0.0,14.4,0.5,305.0
2023-01-01 01:00:00,1.319,19.1,18.1,36.4,4.9,92.0,9.0225,729.0,0.0,79.0,2.8,0.04925,13.4,3.6,254.0
2023-01-01 02:00:00,1.161,19.2,17.2,35.6,4.7,133.0,12.878,729.0,0.0,84.0,2.8,0.0985,12.2,4.1,250.0
2023-01-01 03:00:00,1.083,20.7,17.0,36.9,4.4,115.0,11.566,728.0,0.0,86.0,2.9,0.14775,11.2,4.4,246.0
2023-01-01 04:00:00,1.092,19.2,18.1,36.5,4.7,114.0,9.27456,728.0,0.0,86.0,2.9,0.03055,11.5,5.1,264.0
2023-01-01 05:00:00,1.167,16.0,20.5,35.6,5.2,100.0,9.70856,728.0,0.0,82.0,5.4,0.12855,12.2,4.8,262.0
2023-01-01 06:00:00,1.035,14.4,19.1,32.7,6.4,115.0,9.772,728.0,0.0,82.0,3.5,0.0298,12.0,6.0,249.0
2023-01-01 07:00:00,0.919,14.8,16.9,30.8,8.8,101.0,7.7,728.0,0.0,78.0,7.1,0.0402,12.3,5.6,276.0
2023-01-01 08:00:00,0.81,14.5,14.4,28.1,11.9,72.0,7.029999999999999,729.0,0.0,75.0,8.8,0.1200999999999999,12.2,6.9,265.0
2023-01-01 09:00:00,0.671,14.2,11.8,25.1,18.9,56.0,9.485165048543688,729.0,0.0,62.0,5.1,0.44325,15.5,8.6,256.0
2023-01-01 10:00:00,0.624,12.7,9.5,21.4,29.4,48.0,7.702582524271844,729.0,0.0,45.0,4.7,0.4925,20.1,9.8,257.0
2023-01-01 11:00:00,0.536,11.7,9.6,20.5,38.6,40.0,7.54566504854369,729.0,0.0,30.0,3.4,0.54175,25.2,7.7,270.0
2023-01-01 12:00:00,0.534,10.2,9.2,18.5,47.4,46.0,7.108,728.0,0.0,22.0,2.8,0.591,29.4,6.2,266.0
2023-01-01 13:00:00,0.65,9.8,13.5,22.4,58.7,39.0,6.74116504854369,727.0,0.0,19.0,3.4,0.643,31.4,5.8,218.0
2023-01-01 14:00:00,0.604,8.1,11.6,18.8,65.9,43.0,8.436448979591837,726.0,0.0,17.0,3.5,0.627,32.7,6.6,91.0
2023-01-01 15:00:00,0.577,6.6,10.8,16.6,73.2,36.0,6.436448979591836,726.0,0.0,17.0,3.3,0.548,32.7,10.2,78.0
2023-01-01 16:00:00,0.484,5.4,9.3,13.8,68.0,36.0,5.900448979591836,725.0,0.0,20.0,3.2,0.42,32.1,15.7,74.0
2023-01-01 17:00:00,0.573,4.9,9.3,13.3,68.2,29.0,6.384448979591836,726.0,0.0,26.0,3.8,0.242,30.6,16.1,78.0
2023-01-01 18:00:00,0.584,4.8,9.6,13.5,62.9,35.0,7.078448979591836,726.0,0.0,30.0,4.5,0.065,28.7,9.6,78.0
2023-01-01 19:00:00,0.595,5.5,11.5,16.1,36.3,41.0,7.422,726.0,0.0,38.0,3.1,0.001,26.0,6.3,72.0
2023-01-01 20:00:00,0.561,6.9,16.0,22.0,24.9,46.0,11.247165048543687,726.0,0.0,47.0,3.1,0.0,23.9,5.1,75.0
2023-01-01 21:00:00,0.547,7.9,11.5,18.4,25.6,47.0,8.359165048543689,727.0,0.0,56.0,2.7,0.0,21.6,5.1,92.0
2023-01-01 22:00:00,0.569,8.8,9.7,17.7,24.7,45.0,6.0871764705882345,727.0,0.0,63.0,2.7,0.0,20.2,5.8,97.0
2023-01-01 23:00:00,0.588,10.9,10.9,21.0,22.6,38.0,6.405176470588236,726.0,0.0,66.0,2.65,0.0,20.6,5.8,92.0
2023-01-02 00:00:00,0.578,12.2,15.8,27.2,20.0,40.0,6.2391764705882355,726.0,0.0,71.0,2.6,0.25,19.6,3.8,77.0
2023-01-02 01:00:00,0.462,10.9,9.6,19.7,21.5,46.0,6.397176470588235,726.0,0.0,79.0,2.7,0.5,18.8,5.6,68.0
2023-01-02 02:00:00,0.56,11.6,8.7,19.5,17.6,33.0,6.2391764705882355,725.0,0.0,85.0,2.7,0.75,18.2,2.5,44.0
2023-01-02 03:00:00,0.51,12.2,7.6,19.0,14.7,34.0,9.918,725.0,0.0,89.0,2.5,0.5589999999999999,17.3,2.6,45.0
2023-01-02 04:00:00,0.496,12.8,11.0,23.0,8.4,31.0,7.784000000000001,725.0,0.0,91.0,2.4,1.25,15.6,4.7,252.0
2023-01-02 05:00:00,0.591,13.9,13.6,26.7,6.2,38.0,6.593999999999999,725.0,0.0,92.0,2.3,1.1385964285714285,14.9,3.8,254.0
2023-01-02 06:00:00,0.576,16.0,14.3,29.6,4.5,40.0,9.008,725.0,0.0,93.0,2.3,1.027192857142857,14.2,4.3,243.0
2023-01-02 07:00:00,0.7,36.8,17.4,53.3,4.1,42.0,7.473999999999999,725.0,0.0,93.0,3.7,0.9157892857142856,14.6,4.8,272.0
2023-01-02 08:00:00,0.693,40.0,16.0,55.1,4.3,68.0,5.895365853658537,726.0,0.0,94.0,3.4,0.8043857142857143,14.1,4.2,246.0
2023-01-02 09:00:00,0.845,37.9,17.3,54.2,5.7,62.0,7.824,726.0,0.0,89.0,3.2,0.6929821428571428,16.2,3.6,80.0
2023-01-02 10:00:00,0.772,24.1,16.4,39.7,13.2,68.0,5.632,726.0,0.0,80.0,3.0,0.5815785714285713,18.9,3.9,106.0
2023-01-02 11:00:00,0.786,18.4,16.9,34.5,25.9,63.0,9.52316504854369,726.0,0.0,62.0,4.0,0.4701749999999999,22.8,4.7,107.0
2023-01-02 12:00:00,0.695,14.4,16.8,30.4,47.5,71.0,10.62716504854369,726.0,0.0,49.0,7.4,1.026875,26.0,7.2,80.0
2023-01-02 13:00:00,0.653,12.5,19.4,31.0,59.3,62.0,7.674470588235295,725.0,0.0,34.0,9.3,0.83225,29.1,3.6,4.0
2023-01-02 14:00:00,0.597,11.4,15.6,26.1,49.8,89.0,7.307165048543689,724.0,0.0,23.0,4.6,0.6376250000000001,31.2,5.7,309.0
2023-01-02 15:00:00,0.434,8.8,10.7,18.6,53.7,69.0,7.376165048543688,723.0,0.0,18.0,3.5,0.443,32.0,5.3,90.0
2023-01-02 16:00:00,0.591,7.1,11.7,17.9,63.3,53.0,8.592165048543688,723.0,0.0,19.0,3.7,0.326,31.5,8.6,96.0
2023-01-02 17:00:00,0.469,6.5,14.2,19.9,71.2,65.0,8.174165048543689,723.0,0.0,23.0,3.9,0.162,30.6,7.1,108.0
2023-01-02 18:00:00,0.553,6.1,17.5,22.7,57.8,73.0,7.924415048543689,723.0,0.0,27.0,3.5,0.041,28.5,5.5,121.0
2023-01-02 19:00:00,0.714,8.9,25.9,33.9,29.1,100.0,6.463165048543689,723.0,0.0,33.0,7.4,0.001,25.5,3.8,228.0
2023-01-02 20:00:00,0.795,8.4,28.7,36.2,13.7,103.0,14.182000000000002,724.0,0.0,40.0,6.4,0.0,22.8,2.1,236.0
2023-01-02 21:00:00,0.869,20.1,39.2,58.2,6.3,116.0,9.724,725.0,0.0,43.0,9.5,0.0,21.5,2.4,300.0
2023-01-02 22:00:00,1.041,25.0,35.8,59.7,4.4,146.0,10.976,725.0,0.0,52.0,7.0,0.0,19.0,1.8,234.0
2023-01-02 23:00:00,1.183,50.9,36.0,85.6,4.6,140.0,11.34,725.0,0.0,52.0,8.2,0.0,18.6,3.7,282.0
2023-01-03 00:00:00,1.111,45.6,33.0,77.3,4.3,162.0,8.794,725.0,0.0,63.0,6.5,0.05,16.1,4.9,252.0
2023-01-03 01:00:00,1.132,52.0,37.8,88.4,4.3,138.0,9.392,725.0,0.0,59.0,7.6,0.1,16.9,5.6,260.0
2023-01-03 02:00:00,1.226,70.2,38.7,107.6,4.4,142.0,9.392,726.0,0.0,55.0,10.0,0.15,16.9,6.8,268.0
2023-01-03 03:00:00,0.928,28.9,30.5,58.3,4.5,208.0,8.76,726.0,0.0,48.0,12.4,0.0516,17.0,5.6,261.0
2023-01-03 04:00:00,0.663,17.3,23.5,39.9,5.2,139.0,9.682,726.0,0.0,52.0,5.8,0.3232,15.4,4.1,251.0
2023-01-03 05:00:00,0.61,18.6,21.3,39.1,5.1,97.0,7.651999999999999,726.0,0.0,57.0,4.2,0.0992,14.0,7.1,246.0
2023-01-03 06:00:00,0.421,16.7,19.5,35.4,10.6,75.0,7.053999999999999,726.0,0.0,31.0,3.5,0.4058,20.5,11.4,265.0
2023-01-03 07:00:00,0.403,13.7,10.6,23.5,25.4,66.0,7.651999999999999,727.0,0.0,35.0,3.0,0.5002000000000001,18.6,8.5,283.0
2023-01-03 08:00:00,0.467,12.5,12.2,23.9,26.6,53.0,8.334,727.0,0.0,33.0,2.8,0.2663999999999999,17.4,11.9,272.0
2023-01-03 09:00:00,0.408,10.8,8.9,18.9,34.9,62.0,6.176,727.0,0.0,27.0,2.2,0.5078571428571428,19.5,16.5,291.0
2023-01-03 10:00:00,0.397,9.9,8.7,17.7,36.5,88.0,7.74,728.0,0.0,23.0,2.3,0.3424,22.5,10.7,270.0
2023-01-03 11:00:00,0.35,8.4,7.4,15.0,38.6,58.0,9.326,728.0,0.0,19.0,2.1,0.1066,24.7,14.1,282.0
2023-01-03 12:00:00,0.375,7.5,7.0,13.6,38.8,44.0,9.098,728.0,0.0,17.0,2.0,0.6298,27.5,10.6,290.0
2023-01-03 13:00:00,0.345,7.4,6.6,13.2,38.2,29.0,5.610000000000001,727.0,0.0,16.0,2.2,0.4732,28.8,6.9,260.0
2023-01-03 14:00:00,0.407,6.7,7.1,13.0,46.0,26.0,6.022,726.0,0.0,15.0,3.4,0.2138,30.0,8.5,42.0
2023-01-03 15:00:00,0.483,5.6,9.7,14.4,64.2,49.0,6.828,725.0,0.0,18.0,8.2,0.325,29.0,13.8,75.0
