Date,NORESTE CO ppm,NORESTE NO ppb,NORESTE NO2 ppb,NORESTE NOX ppb,NORESTE O3 ppb,NORESTE PM10 ug/m3,NORESTE PM2.5 ug/m3,NORESTE PRS mmhg,NORESTE RAINF mm/hr,NORESTE RH %,NORESTE SO2 ppb,NORESTE SR KW/m2,NORESTE TOUT degC,NORESTE WSR KMPH,NORESTE WDV DEG
2023-01-01 00:00:00,3.4,30.4,43.0,73.4,7.0,222.0,55.4,718.4,0.0,61.0,3.8,0.0,19.01,4.1,190.0
2023-01-01 01:00:00,4.3,67.2,44.4,111.6,8.0,311.0,280.0,718.1,0.0,61.0,24.0,0.0,17.32,1.4,222.0
2023-01-01 02:00:00,4.28,63.9,41.5,105.5,7.0,723.0,400.0,717.8,0.0,69.0,9.8,0.0,16.22,2.5,4.0
2023-01-01 03:00:00,3.77,57.2,42.3,99.5,6.0,473.0,349.0,717.6,0.0,72.0,7.8,0.0,15.57,1.6,330.0
2023-01-01 04:00:00,2.98,41.9,39.9,81.8,5.0,372.0,260.0,717.6,0.0,72.0,7.3,0.0,15.53,4.1,343.0
2023-01-01 05:00:00,2.1,16.5,35.1,51.6,6.0,285.0,157.0,717.6,0.0,70.0,6.0,0.0,15.18,5.0,334.0
2023-01-01 06:00:00,3.04,46.3,36.2,82.4,5.0,173.0,195.0,717.6,0.0,71.0,5.3,0.0,14.9,4.0,264.0
2023-01-01 07:00:00,1.81,36.3,34.7,70.9,4.0,212.0,90.0,717.6,0.0,63.0,4.7,0.0,15.68,4.4,270.0
2023-01-01 08:00:00,2.31,39.8,32.9,72.6,5.0,125.0,110.0,718.0,0.0,69.0,4.2,0.004,14.15,2.3,279.0
2023-01-01 09:00:00,2.22,34.8,37.9,72.7,6.0,144.0,100.0,718.4,0.0,60.0,4.5,0.078,18.7,0.7,82.0
2023-01-01 10:00:00,1.74,22.2,34.4,56.6,11.0,146.0,69.0,718.6,0.0,46.0,5.1,0.147,22.76,1.9,218.0
2023-01-01 11:00:00,1.28,10.8,25.6,36.3,21.0,114.0,35.0,718.6,0.0,33.0,4.9,0.278,25.76,3.5,284.0
2023-01-01 12:00:00,1.29,10.6,32.0,42.6,34.0,88.0,47.0,717.9,0.0,29.0,5.2,0.343,28.5,1.7,104.0
2023-01-01 13:00:00,0.95,7.0,21.3,28.3,43.0,92.0,30.0,717.0,0.0,22.0,5.0,0.373,30.81,2.6,221.0
2023-01-01 14:00:00,0.76,5.9,15.2,21.2,43.0,71.0,14.0,716.0,0.0,17.0,4.3,0.364,32.07,4.0,184.0
2023-01-01 15:00:00,0.7,5.5,11.0,16.5,47.0,49.0,11.0,715.2,0.0,15.0,3.0,0.275,32.72,6.3,165.0
2023-01-01 16:00:00,0.93,6.7,15.7,22.4,55.0,40.0,21.0,715.0,0.0,16.0,3.2,0.236,31.93,9.4,155.0
2023-01-01 17:00:00,1.34,12.9,25.6,38.4,68.0,65.0,31.0,715.0,0.0,23.0,11.8,0.127,30.53,12.9,145.0
2023-01-01 18:00:00,1.11,4.9,22.0,26.9,66.0,98.0,39.0,715.2,0.0,29.0,12.4,0.023,28.41,10.7,147.0
2023-01-01 19:00:00,1.39,5.5,32.2,37.7,46.0,90.0,45.0,715.6,0.0,33.0,13.0,0.0,26.53,7.8,157.0
2023-01-01 20:00:00,1.54,6.6,44.4,51.0,28.0,106.0,61.0,716.0,0.0,39.0,9.1,0.0,25.04,7.4,129.0
2023-01-01 21:00:00,1.0,5.6,18.2,23.8,21.0,123.0,29.0,716.2,0.0,53.0,5.3,0.0,24.13,10.6,135.0
2023-01-01 22:00:00,1.21,6.6,25.5,32.1,12.0,81.0,33.0,716.0,0.0,59.0,4.8,0.0,22.5,4.8,106.0
2023-01-01 23:00:00,1.11,4.6,24.0,28.6,16.0,79.0,32.0,715.8,0.0,60.0,4.5,0.0,22.0,3.4,90.0
