Date,NORESTE2 CO ppm,NORESTE2 NO ppb,NORESTE2 NO2 ppb,NORESTE2 NOX ppb,NORESTE2 O3 ppb,NORESTE2 PM10 ug/m3,NORESTE2 PM2.5 ug/m3,NORESTE2 PRS mmhg,NORESTE2 RAINF mm/hr,NORESTE2 RH %,NORESTE2 SO2 ppb,NORESTE2 SR KW/m2,NORESTE2 TOUT degC,NORESTE2 WSR KMPH,NORESTE2 WDV DEG
2023-01-01 00:00:00,2.12,10.2,34.1,44.3,12.0,93.0,67.0,714.1,0.0,57.0,3.1,0.0,20.21,14.0,316.0
2023-01-01 01:00:00,1.97,6.7,34.3,40.9,10.0,162.0,101.0,713.8,0.0,62.0,3.8,0.0,18.19,7.3,259.0
2023-01-01 02:00:00,2.21,17.6,34.1,51.7,8.0,209.0,143.0,713.4,0.0,68.0,3.7,0.0,16.41,10.0,126.0
2023-01-01 03:00:00,2.41,34.9,32.3,67.3,8.0,220.0,154.0,713.0,0.0,73.0,3.6,0.019,16.42,13.1,90.0
2023-01-01 04:00:00,2.57,47.9,34.0,81.9,8.0,219.0,166.0,713.0,0.0,73.0,3.5,0.0,15.03,14.6,139.0
2023-01-01 05:00:00,2.88,16.4,32.5,49.0,10.0,261.0,168.0,713.0,0.0,72.0,3.2,0.0,14.0,12.3,125.0
2023-01-01 06:00:00,2.46,3.5,21.2,24.8,12.0,187.0,94.0,712.9,0.0,69.0,3.6,0.006,14.47,12.8,111.0
2023-01-01 07:00:00,1.94,10.3,29.7,40.0,7.0,109.0,59.0,713.0,0.0,68.0,3.4,0.007,14.25,14.2,138.0
2023-01-01 08:00:00,1.84,7.5,25.4,32.9,10.0,117.0,57.0,713.5,0.0,64.0,3.1,0.019,14.57,12.9,147.0
2023-01-01 09:00:00,1.64,5.5,13.0,18.5,19.0,93.0,35.0,714.0,0.0,48.0,2.9,0.125,17.51,9.3,135.0
2023-01-01 10:00:00,1.33,5.9,11.4,17.3,26.0,82.0,20.0,714.4,0.0,35.0,3.0,0.278,21.87,9.9,115.0
2023-01-01 11:00:00,1.19,8.1,18.9,27.0,34.0,78.0,29.0,714.3,0.0,31.0,4.4,0.394,25.74,8.1,97.0
2023-01-01 12:00:00,1.32,7.0,18.0,25.0,43.0,85.0,36.0,713.4,0.0,24.0,4.6,0.489,30.1,5.6,91.0
2023-01-01 13:00:00,1.26,4.6,8.3,12.9,44.0,74.0,24.0,712.3,0.0,16.0,2.5,0.488,31.6,1.1,144.0
2023-01-01 14:00:00,1.15,4.3,7.1,11.4,46.0,44.0,9.0,711.0,0.0,14.0,2.5,0.311,32.76,3.3,262.0
2023-01-01 15:00:00,1.16,6.2,16.4,22.6,53.0,40.0,15.0,710.2,0.0,16.0,3.7,0.464,34.13,7.7,328.0
2023-01-01 16:00:00,1.12,5.4,19.2,24.6,61.0,43.0,7.0,709.8,0.0,18.0,3.6,0.355,33.66,11.5,319.0
2023-01-01 17:00:00,1.29,4.8,24.3,29.1,69.0,54.0,12.0,709.8,0.0,22.0,10.6,0.189,31.71,14.5,317.0
2023-01-01 18:00:00,1.27,4.8,26.4,31.2,47.0,95.0,11.0,710.2,0.0,25.0,13.5,0.052,29.57,9.8,309.0
2023-01-01 19:00:00,1.28,7.3,43.4,50.7,29.0,63.0,4.0,710.5,0.0,28.0,7.9,0.0,27.37,1.2,152.0
