Date,NOROESTE 2 CO ppm,NOROESTE 2 NO ppb,NOROESTE 2 NO2 ppb,NOROESTE 2 NOX ppb,NOROESTE 2 O3 ppb,NOROESTE 2 PM10 ug/m3,NOROESTE 2 PM2.5 ug/m3,NOROESTE 2 PRS mmhg,NOROESTE 2 RAINF mm/hr,NOROESTE 2 RH %,NOROESTE 2 SO2 ppb,NOROESTE 2 SR KW/m2,NOROESTE 2 TOUT degC,NOROESTE 2 WSR KMPH,NOROESTE 2 WDV DEG
2023-01-01 00:00:00,2.07,31.6,40.6,72.0,7.0,398.0,221.6,700.3,0.0,53.0,2.1,0.4478,15.93,4.6,306.0
2023-01-01 01:00:00,2.09,11.3,30.1,41.3,5.0,265.0,114.16,699.9,0.0,53.0,2.0,0.1712,14.96,6.2,298.0
2023-01-01 02:00:00,2.17,39.4,31.7,70.9,5.0,167.0,84.92,699.4,0.0,54.0,2.1,0.0772,14.51,3.4,295.0
2023-01-01 03:00:00,2.21,13.6,27.0,40.5,6.0,133.0,63.62,699.2,0.0,55.0,2.1,0.0772,14.23,7.1,305.0
2023-01-01 04:00:00,2.15,6.1,16.4,22.5,10.0,86.0,29.06,699.2,0.0,52.0,2.2,0.1494,14.23,12.3,303.0
2023-01-01 05:00:00,2.19,5.5,16.3,21.7,10.0,58.0,24.83,699.3,0.0,50.0,2.1,0.0772,14.34,9.8,286.0
2023-01-01 06:00:00,2.17,5.2,15.8,21.1,11.0,51.0,25.18,699.2,0.0,49.0,2.1,0.2546,14.07,9.7,298.0
2023-01-01 07:00:00,2.22,5.3,17.6,22.9,11.0,42.0,21.96,699.4,0.0,45.0,2.3,0.2968,14.74,11.1,293.0
2023-01-01 08:00:00,2.22,6.5,17.4,23.9,11.0,46.0,21.18,699.9,0.0,45.0,2.2,0.1862,14.52,9.8,288.0
2023-01-01 09:00:00,2.17,7.2,12.6,19.7,16.0,52.0,19.69,700.3,0.0,43.0,2.7,0.2066,15.84,12.3,289.0
2023-01-01 10:00:00,2.14,8.7,12.2,20.9,19.0,65.0,18.28,700.4,0.0,33.0,3.6,0.202,19.76,10.0,281.0
2023-01-01 11:00:00,2.13,8.4,11.3,19.9,23.0,57.0,15.11,700.3,0.0,26.0,3.1,0.3272,23.74,12.8,292.0
2023-01-01 12:00:00,2.05,7.5,10.2,17.6,29.0,39.0,11.14,699.7,0.0,21.0,2.8,0.0,27.41,13.4,296.0
2023-01-01 13:00:00,2.15,6.3,8.5,14.7,32.0,36.0,6.77,698.8,0.0,15.0,2.4,0.273,30.45,8.5,300.0
2023-01-01 14:00:00,2.17,3.8,6.8,10.5,39.0,19.0,5.77,697.8,0.0,12.0,2.2,0.0552,32.77,6.5,116.0
2023-01-01 15:00:00,2.19,3.8,7.3,11.0,42.0,20.0,6.66,697.2,0.0,13.0,2.3,0.0,30.96,14.1,106.0
2023-01-01 16:00:00,2.14,3.8,9.1,12.8,44.0,25.0,8.09,696.9,0.0,13.0,2.9,0.0,30.74,15.1,113.0
2023-01-01 17:00:00,2.17,3.7,10.1,13.6,45.0,39.0,10.2,696.8,0.0,15.0,3.2,0.0,29.78,16.5,121.0
2023-01-01 18:00:00,2.17,3.5,18.4,21.9,49.0,49.0,20.93,697.0,0.0,20.0,4.2,0.0,28.06,12.4,105.0
2023-01-01 19:00:00,2.11,3.6,21.4,25.0,67.0,60.0,40.18,697.5,0.0,28.0,20.6,0.2758,25.94,14.4,96.0
2023-01-01 20:00:00,2.17,4.1,27.8,31.8,46.0,93.0,38.76,697.8,0.0,31.0,19.4,0.2766,24.35,8.4,128.0
2023-01-01 21:00:00,2.16,4.8,38.2,42.9,33.0,84.0,41.54,698.0,0.0,34.0,10.7,0.4218,23.18,7.4,166.0
2023-01-01 22:00:00,2.14,5.6,35.3,40.8,20.0,93.0,34.22,697.8,0.0,41.0,6.4,0.1262,22.4,8.6,172.0
2023-01-01 23:00:00,2.13,10.7,34.2,44.7,11.0,73.0,30.56,697.7,0.0,49.0,3.9,0.3004,20.85,3.8,163.0
2023-01-02 00:00:00,2.16,10.3,26.5,36.7,12.0,65.0,26.67,697.2,0.0,55.0,3.1,0.2262,19.94,3.5,41.0
2023-01-02 01:00:00,2.15,6.4,17.6,24.0,15.0,54.0,23.77,696.8,0.0,59.0,2.8,0.0892,19.17,4.5,69.0
2023-01-02 02:00:00,2.14,8.3,19.6,27.8,12.0,44.0,26.98,696.6,0.0,63.0,2.6,0.1518,18.23,4.3,10.0
2023-01-02 03:00:00,2.16,4.2,17.9,22.0,12.0,48.0,29.05,696.6,0.0,62.0,2.5,0.3464,17.37,7.6,294.0
2023-01-02 04:00:00,2.12,3.8,10.8,14.5,23.0,58.0,22.9,696.3,0.0,52.0,2.6,0.2632,17.48,9.8,298.0
2023-01-02 05:00:00,2.21,5.0,10.2,15.1,25.0,47.0,17.36,696.2,0.0,42.0,2.9,0.243,19.46,14.4,289.0
2023-01-02 06:00:00,2.17,5.5,8.1,13.6,21.0,52.0,9.12,696.3,0.0,29.0,3.8,0.1222,21.99,15.7,284.0
2023-01-02 07:00:00,2.11,7.3,8.0,15.2,19.0,60.0,4.79,696.9,0.0,25.0,3.3,0.0,23.24,15.0,293.0
2023-01-02 08:00:00,2.07,23.1,16.3,39.2,13.0,40.0,5.6,696.9,0.0,26.0,3.2,0.2502,22.73,10.4,275.0
2023-01-02 09:00:00,2.08,20.3,17.6,37.8,12.0,42.0,9.61,696.9,0.0,29.0,3.2,0.2818,21.63,10.6,286.0
