Date,NOROESTE 3 CO ppm,NOROESTE 3 NO ppb,NOROESTE 3 NO2 ppb,NOROESTE 3 NOX ppb,NOROESTE 3 O3 ppb,NOROESTE 3 PM10 ug/m3,NOROESTE 3 PM2.5 ug/m3,NOROESTE 3 PRS mmhg,NOROESTE 3 RAINF mm/hr,NOROESTE 3 RH %,NOROESTE 3 SO2 ppb,NOROESTE 3 SR KW/m2,NOROESTE 3 TOUT degC,NOROESTE 3 WSR KMPH,NOROESTE 3 WDR DEG
2023-01-01 00:00:00,1.656,36.9,22.82,59.7,3.4,140.8,11.026,705.78,0.0,64.2,3.5799999999999996,0.011,17.968,17.799999999999997,146.8
2023-01-01 01:00:00,2.42,14.7,28.8,43.5,3.0,246.0,11.092,707.4,0.0,59.0,2.9,0.0,14.14,65.3,95.0
2023-01-01 02:00:00,2.31,18.5,26.8,45.3,3.0,239.0,12.685,707.0,0.0,59.0,3.2,0.0,14.11,60.9,90.0
2023-01-01 03:00:00,1.78,15.5,24.0,39.5,2.0,275.0,8.477999999999998,706.8,0.0,59.0,2.3,0.0,14.08,58.1,84.0
2023-01-01 04:00:00,1.56,10.5,22.2,32.7,2.0,189.0,8.628,706.8,0.0,58.0,1.8,0.0,12.94,61.4,87.0
2023-01-01 05:00:00,1.42,9.2,21.1,30.3,3.0,103.0,7.185599999999999,706.8,0.0,58.0,1.8,0.0,12.83,62.9,88.0
2023-01-01 06:00:00,0.84,3.0,13.9,16.8,5.0,85.0,10.01,706.8,0.0,58.0,1.7,0.0,13.06,62.2,90.0
2023-01-01 07:00:00,0.77,2.6,14.7,17.2,7.0,57.0,8.82,707.0,0.0,59.0,1.8,0.0,13.87,64.1,96.0
2023-01-01 08:00:00,0.7,3.2,13.8,16.8,9.0,45.0,8.228,707.3,0.0,59.0,1.7,0.009,14.67,64.4,98.0
2023-01-01 09:00:00,0.62,3.6,9.4,13.0,18.0,40.0,7.587999999999999,707.7,0.0,64.0,1.9,0.155,17.46,64.1,106.0
2023-01-01 10:00:00,0.59,3.8,7.7,11.4,27.0,41.0,6.684,707.9,0.0,79.0,1.9,0.311,21.35,62.9,113.0
2023-01-01 11:00:00,0.55,3.4,6.8,10.1,34.0,70.0,9.688,707.8,0.0,92.0,1.7,0.445,25.73,63.2,121.0
2023-01-01 12:00:00,0.48,2.9,5.5,8.3,40.0,37.0,8.294,707.1,0.0,97.0,1.3,0.54,29.59,64.5,127.0
2023-01-01 13:00:00,0.53,2.9,7.3,10.1,47.0,29.0,8.644,706.2,0.0,96.0,1.6,0.575,31.48,35.7,64.0
2023-01-01 14:00:00,0.56,3.2,8.6,11.6,51.0,32.0,7.591285714285713,705.2,0.0,81.0,1.8,0.398,31.7,20.6,40.0
2023-01-01 15:00:00,0.53,3.0,7.6,10.4,50.0,20.0,7.384181818181818,704.6,0.0,75.0,3.4,0.493,31.75,26.7,50.0
2023-01-01 16:00:00,0.55,2.9,9.1,11.9,52.0,27.0,6.381272727272727,704.3,0.0,48.0,2.3,0.373,31.71,26.4,49.0
2023-01-01 17:00:00,0.62,2.1,10.1,12.1,65.0,30.0,6.618181818181819,704.3,0.0,71.0,1.8,0.138,30.66,22.5,42.0
2023-01-01 18:00:00,0.81,1.8,16.0,17.7,90.0,41.0,7.75,704.6,0.0,66.0,39.8,0.034,28.33,20.3,35.0
2023-01-01 19:00:00,0.99,1.8,14.4,16.0,78.0,76.0,9.902,705.0,0.0,65.0,35.7,0.0,26.14,19.0,22.0
2023-01-01 20:00:00,1.01,1.7,11.8,13.3,66.0,81.0,9.580000000000002,705.4,0.0,63.0,13.4,0.0,25.16,18.8,18.0
2023-01-01 21:00:00,0.85,1.7,11.8,13.4,47.0,70.5,9.758,705.6,0.0,52.0,7.4,0.0,23.99,20.0,16.0
2023-01-01 22:00:00,0.66,1.7,6.7,8.3,31.0,60.0,9.714,705.3,0.0,42.0,3.2,0.0,23.09,20.6,13.0
2023-01-01 23:00:00,0.87,3.7,15.0,18.6,17.0,43.0,9.87,705.0,0.0,62.0,3.4,0.0,21.82,30.3,49.0
2023-01-02 00:00:00,0.85,2.8,15.7,18.4,13.0,39.0,10.974,704.6,0.0,56.0,3.1,0.0,20.81,28.1,42.0
2023-01-02 01:00:00,0.86,2.9,16.8,19.6,11.0,44.0,6.926,704.2,0.0,61.0,3.1,0.0,19.92,31.5,45.0
2023-01-02 02:00:00,0.82,3.9,16.6,20.4,11.0,43.0,6.1160000000000005,704.1,0.0,58.0,2.5,0.0,18.97,54.5,76.0
2023-01-02 03:00:00,0.8,5.7,17.7,23.3,5.0,43.0,9.624,704.0,0.0,60.0,2.0,0.0,16.91,67.2,80.0
2023-01-02 04:00:00,0.82,3.6,14.3,17.7,7.0,44.0,8.164,703.7,0.0,41.0,1.6,0.0,15.97,71.0,73.0
2023-01-02 05:00:00,0.83,3.0,14.7,17.5,9.0,52.0,8.164,703.6,0.0,50.0,1.5,0.0,16.19,67.6,85.0
2023-01-02 06:00:00,0.72,4.1,13.8,17.8,12.0,45.0,9.624,703.6,0.0,60.0,1.6,0.0,18.75,52.6,79.0
2023-01-02 07:00:00,0.51,3.4,9.6,12.8,15.0,65.0,6.9079999999999995,703.9,0.0,60.0,1.1,0.0,22.64,61.9,105.0
2023-01-02 08:00:00,0.58,6.3,13.0,19.2,11.0,62.0,8.02,704.0,0.0,62.0,1.1,0.007,22.6,62.1,107.0
2023-01-02 09:00:00,0.84,24.2,18.2,42.4,6.0,74.0,10.4,704.1,0.0,63.0,2.6,0.086,22.18,58.7,101.0
2023-01-02 10:00:00,0.72,8.3,13.4,21.6,15.0,82.0,11.424,704.5,0.0,73.0,1.7,0.175,24.2,64.8,117.0
2023-01-02 11:00:00,0.92,13.5,18.7,32.2,16.0,67.0,10.172,705.0,0.0,76.0,3.8,0.317,25.78,21.7,36.0
2023-01-02 12:00:00,1.19,17.2,26.7,43.9,19.0,70.0,10.012,704.5,0.0,80.0,8.3,0.414,27.35,18.1,26.0
2023-01-02 13:00:00,0.91,8.8,22.8,31.6,29.0,83.0,10.504,703.7,0.0,76.0,7.0,0.335,27.9,23.2,42.0
2023-01-02 14:00:00,0.88,9.1,24.0,33.0,33.0,65.0,8.286000000000001,702.8,0.0,74.0,6.0,0.317,29.16,27.1,49.0
2023-01-02 15:00:00,0.83,6.4,21.9,28.2,45.0,85.0,9.522,702.1,0.0,74.0,5.3,0.457,30.01,26.6,49.0
2023-01-02 16:00:00,0.69,4.1,17.2,21.2,46.0,122.0,9.344,702.0,0.0,72.0,3.0,0.268,30.04,25.4,43.0
2023-01-02 17:00:00,0.68,3.1,17.4,20.4,42.0,58.0,9.344,701.9,0.0,69.0,2.3,0.133,29.92,20.8,34.0
