Date,SURESTE CO ppm,SURESTE NO ppb,SURESTE NO2 ppb,SURESTE NOX ppb,SURESTE O3 ppb,SURESTE PM10 ug/m3,SURESTE PM2.5 ug/m3,SURESTE PRS mmhg,SURESTE RAINF mm/hr,SURESTE RH %,SURESTE SO2 ppb,SURESTE SR KW/m2,SURESTE TOUT degC,SURESTE WSR KMPH,SURESTE WDV DEG
2023-01-01 00:00:00,2.37,54.5,32.6,87.1,3.0,110.0,68.0,721.7,0.0,68.0,3.5,0.0,16.39,3.2,257.0
2023-01-01 01:00:00,2.12,38.7,30.3,68.9,3.0,116.0,67.18,721.5,0.0,72.0,3.4,0.0,15.17,3.3,278.0
2023-01-01 02:00:00,2.05,38.7,28.8,67.4,3.0,117.0,75.12,721.1,0.0,71.0,3.6,0.0,14.82,3.7,278.0
2023-01-01 03:00:00,2.5,60.5,29.1,89.4,3.0,135.0,82.81,720.8,0.0,68.0,3.8,0.0,15.51,3.6,197.0
2023-01-01 04:00:00,1.94,42.3,25.7,67.7,3.3333333333333335,132.0,59.56,720.7,0.0,73.0,3.6,0.0,13.81,4.9,271.0
2023-01-01 05:00:00,1.35,10.2,23.1,33.2,3.6666666666666665,96.0,33.58,720.7,0.0,71.0,3.0,0.0,13.65,6.8,284.0
2023-01-01 06:00:00,1.27,7.8,22.5,30.3,4.0,59.0,34.65,720.6,0.0,68.0,3.3,0.0,14.04,8.4,286.0
2023-01-01 07:00:00,1.03,5.4,15.4,20.8,10.0,61.0,24.32,720.6,0.0,59.0,3.4,0.0,15.49,10.0,287.0
2023-01-01 08:00:00,0.88,5.1,12.4,17.4,13.0,47.0,14.34,721.2,0.0,51.0,3.2,0.006,16.59,11.0,283.0
2023-01-01 09:00:00,0.84,6.9,13.5,20.3,16.0,27.0,8.14,721.7,0.0,39.0,3.2,0.089,19.97,9.0,280.0
2023-01-01 10:00:00,0.89,8.5,13.1,21.5,17.0,21.0,7.81,722.1,0.0,37.0,3.3,0.229,22.85,5.3,288.0
2023-01-01 11:00:00,0.88,7.7,12.8,20.4,24.0,20.0,7.09,722.2,0.0,28.0,3.4,0.328,27.07,4.3,271.0
2023-01-01 12:00:00,0.9,7.6,16.1,23.7,31.0,22.0,9.72,721.8,0.0,24.0,5.6,0.392,29.11,5.4,39.0
2023-01-01 13:00:00,1.06,4.8,15.4,20.1,53.0,30.0,19.44,721.1,0.0,28.0,4.3,0.413,28.89,7.2,82.0
2023-01-01 14:00:00,0.92,3.5,8.4,11.9,54.0,48.0,13.93,720.2,0.0,23.0,3.4,0.393,30.19,8.3,76.0
2023-01-01 15:00:00,0.88,3.5,7.9,11.4,51.0,30.0,11.83,719.4,0.0,21.0,3.1,0.332,31.04,11.8,106.0
2023-01-01 16:00:00,0.88,3.7,9.0,12.6,47.0,29.0,11.25,719.1,0.0,20.0,3.1,0.242,31.26,13.0,118.0
2023-01-01 17:00:00,1.03,3.4,13.3,16.7,60.0,41.0,20.7,719.0,0.0,23.0,16.4,0.131,30.37,12.6,123.0
2023-01-01 18:00:00,1.1,3.3,14.5,17.8,77.0,61.0,30.91,718.8,0.0,27.0,27.3,0.017,28.44,17.8,103.0
2023-01-01 19:00:00,1.07,3.3,13.2,16.4,69.0,87.0,26.09,719.0,0.0,28.0,17.4,0.0,27.58,15.8,92.0
2023-01-01 20:00:00,1.24,3.4,25.5,28.9,43.0,63.0,26.49,719.4,0.0,32.0,13.7,0.0,25.66,7.8,160.0
2023-01-01 21:00:00,1.16,3.9,20.8,24.7,29.0,70.0,23.19,719.5,0.0,38.0,6.3,0.0,25.59,10.7,108.0
2023-01-01 22:00:00,1.44,7.3,39.2,46.4,13.0,55.0,25.92,719.3,0.0,42.0,6.3,0.0,22.72,5.7,238.0
2023-01-01 23:00:00,1.31,8.1,34.4,42.4,13.0,67.0,22.15,719.2,0.0,45.0,5.9,0.0,21.96,5.6,255.0
2023-01-02 00:00:00,1.46,11.0,36.8,47.8,4.0,57.0,24.95,718.8,0.0,56.0,4.4,0.0,20.65,4.9,274.0
2023-01-02 01:00:00,1.41,14.9,32.0,46.9,4.0,68.0,23.62,718.4,0.0,62.0,3.9,0.0,19.1,4.1,195.0
2023-01-02 02:00:00,1.28,7.9,25.5,33.4,6.0,58.0,21.6,718.1,0.0,67.0,3.7,0.0,18.07,3.1,239.0
2023-01-02 03:00:00,1.27,7.5,26.4,33.9,5.0,51.0,23.8,718.0,0.0,71.0,3.5,0.0,17.61,5.9,265.0
2023-01-02 04:00:00,1.19,4.4,26.8,31.3,6.0,53.0,26.74,717.9,0.0,70.0,4.4,0.0,18.51,10.3,285.0
2023-01-02 05:00:00,1.07,4.9,24.1,29.0,8.0,62.0,25.44,717.8,0.0,71.0,5.0,0.0,18.22,7.8,277.0
2023-01-02 06:00:00,1.08,12.4,24.4,36.7,5.0,59.0,25.99,717.9,0.0,77.0,4.6,0.0,17.37,5.0,284.0
2023-01-02 07:00:00,1.38,40.7,25.6,66.0,3.0,62.0,27.41,718.0,0.0,81.0,5.2,0.0,16.1,6.0,289.0
2023-01-02 08:00:00,1.22,36.2,23.9,59.9,6.0,82.0,16.29,718.1,0.0,50.0,5.1,0.011,19.87,8.8,274.0
2023-01-02 09:00:00,1.38,26.5,26.7,53.1,6.0,70.0,18.65,718.4,0.0,53.0,5.4,0.044,20.79,7.7,100.0
2023-01-02 10:00:00,1.65,35.5,32.4,67.7,8.0,74.0,25.33,718.8,0.0,56.0,6.0,0.156,21.63,7.1,67.0
2023-01-02 11:00:00,1.45,20.6,29.2,49.7,17.0,111.0,23.83,719.5,0.0,47.0,6.0,0.301,24.68,5.5,223.0
2023-01-02 12:00:00,1.32,9.6,22.0,31.6,29.0,83.0,21.82,719.2,0.0,37.0,5.6,0.325,26.72,7.8,88.0
2023-01-02 13:00:00,1.16,6.7,19.0,25.7,38.0,85.0,18.73,718.6,0.0,32.0,5.1,0.312,27.87,7.1,95.0
2023-01-02 14:00:00,1.14,6.6,19.8,26.4,43.0,71.0,19.56,717.6,0.0,28.0,4.9,0.345,28.98,8.9,111.0
2023-01-02 15:00:00,1.02,5.1,15.3,20.3,45.0,73.0,14.12,716.9,0.0,25.0,5.5,0.247,29.39,11.2,125.0
2023-01-02 16:00:00,1.07,4.7,13.7,18.3,42.0,65.0,16.48,716.4,0.0,28.0,5.4,0.174,29.29,10.1,113.0
2023-01-02 17:00:00,1.13,5.7,20.5,26.1,33.0,56.0,13.52,716.4,0.0,29.0,5.1,0.089,29.11,5.2,128.0
2023-01-02 18:00:00,1.54,19.0,39.7,58.6,13.0,57.0,13.71,716.2,0.0,33.0,4.4,0.024,26.56,4.9,169.0
2023-01-02 19:00:00,1.72,30.3,42.8,72.9,6.0,73.0,12.61,716.5,0.0,36.0,4.0,0.001,24.11,5.2,215.0
2023-01-02 20:00:00,2.13,66.2,44.7,110.7,3.0,70.0,15.76,717.0,0.0,37.0,4.1,0.0,22.95,4.8,229.0
2023-01-02 21:00:00,2.26,91.6,39.7,131.1,3.0,78.0,17.39,717.6,0.0,39.0,4.3,0.0,21.12,4.3,254.0
2023-01-02 22:00:00,2.23,98.4,37.4,135.7,3.0,92.0,18.9,717.8,0.0,40.0,4.4,0.0,20.2,3.6,280.0
2023-01-02 23:00:00,2.38,108.2,34.7,142.8,3.6666666666666665,87.0,15.91,718.0,0.0,42.0,4.5,0.0,19.34,3.9,265.0
2023-01-03 00:00:00,1.66,54.3,34.5,88.7,4.333333333333333,90.0,12.1,718.1,0.0,46.0,4.1,0.0,18.36,2.8,273.0
2023-01-03 01:00:00,1.07,8.7,29.8,38.4,5.0,56.0,9.56,718.3,0.0,44.0,4.2,0.0,18.58,7.2,293.0
2023-01-03 02:00:00,1.12,12.3,32.7,44.9,4.0,44.0,11.91,718.4,0.0,42.0,5.0,0.0,19.09,7.0,280.0
2023-01-03 03:00:00,1.06,7.8,29.1,36.9,5.0,50.0,14.1,718.6,0.0,43.0,4.6,0.0,18.73,6.3,279.0
2023-01-03 04:00:00,1.06,4.4,24.3,28.7,8.0,49.0,11.43,718.7,0.0,43.0,5.0,0.0,19.42,5.5,255.0
2023-01-03 05:00:00,0.93,5.8,24.5,30.3,6.0,41.0,9.49,719.1,0.0,42.0,4.3,0.0,18.3,6.2,277.0
2023-01-03 06:00:00,0.8,7.3,17.4,24.7,11.0,39.0,8.45,719.5,0.0,27.0,4.9,0.0,22.33,9.1,260.0
2023-01-03 07:00:00,0.96,34.5,21.5,55.9,8.0,77.0,7.78,719.9,0.0,27.0,4.5,0.0,21.84,7.1,266.0
2023-01-03 08:00:00,1.22,49.1,28.1,77.0,3.0,73.0,10.2,720.4,0.0,34.0,4.0,0.006,19.15,7.3,287.0
2023-01-03 09:00:00,1.11,25.3,25.4,50.6,9.0,101.0,11.23,721.1,0.0,36.0,3.3,0.084,18.3,6.6,300.0
2023-01-03 10:00:00,0.86,11.5,17.0,28.5,18.0,89.0,8.44,721.7,0.0,30.0,3.0,0.231,20.37,4.9,227.0
2023-01-03 11:00:00,0.91,11.9,17.5,29.4,21.0,70.0,10.17,721.9,0.0,27.0,3.1,0.329,22.89,5.4,334.0
2023-01-03 12:00:00,0.94,8.9,15.8,24.6,28.0,91.0,11.22,721.5,0.0,24.0,3.1,0.416,24.54,7.2,109.0
2023-01-03 13:00:00,0.97,8.2,15.0,23.2,30.0,81.0,15.55,720.5,0.0,22.0,3.3,0.415,25.79,9.9,88.0
2023-01-03 14:00:00,0.93,5.7,11.7,17.4,40.0,81.0,14.61,719.4,0.0,23.0,3.7,0.394,26.86,15.0,93.0
2023-01-03 15:00:00,0.97,4.9,10.8,15.7,45.0,88.0,17.25,718.7,0.0,21.0,3.8,0.335,27.67,14.6,115.0
2023-01-03 16:00:00,0.95,4.6,10.7,15.3,47.0,72.0,12.03,718.4,0.0,20.0,3.6,0.244,27.8,15.8,112.0
2023-01-03 17:00:00,0.92,4.1,11.0,15.0,47.0,54.0,9.65,718.4,0.0,22.0,6.0,0.133,27.15,16.8,109.0
2023-01-03 18:00:00,0.96,4.1,12.6,16.6,40.0,74.0,12.57,719.0,0.0,25.0,6.8,0.019,25.68,17.0,110.0
2023-01-03 19:00:00,0.93,4.3,12.9,17.1,28.0,67.0,6.94,719.9,0.0,24.0,3.5,0.0,23.99,15.0,113.0
2023-01-03 20:00:00,0.91,3.9,13.2,17.1,27.0,40.0,5.75,721.1,0.0,25.0,3.1,0.0,23.19,11.5,119.0
2023-01-03 21:00:00,1.38,20.0,38.2,58.2,7.0,34.0,9.82,722.1,0.0,35.0,3.8,0.0,20.27,4.9,210.0
2023-01-03 22:00:00,1.5,33.3,37.6,70.8,4.0,52.0,10.49,722.6,0.0,37.0,3.6,0.0,19.04,4.3,233.0
2023-01-03 23:00:00,1.58,38.9,34.9,73.6,4.0,58.0,11.53,723.0,0.0,39.0,3.9,0.0,18.16,4.2,182.0
2023-01-04 00:00:00,1.39,38.0,35.6,73.5,3.0,54.0,10.62,723.4,0.0,42.0,3.7,0.0,17.0,3.3,281.0
2023-01-04 01:00:00,1.44,40.6,32.4,72.8,3.0,51.0,9.47,723.6,0.0,45.0,3.6,0.0,16.25,3.4,240.0
2023-01-04 02:00:00,1.06,9.0,27.1,36.1,7.0,48.0,7.2,723.2,0.0,43.0,3.2,0.0,16.34,4.1,257.0
2023-01-04 03:00:00,0.97,4.4,23.9,28.3,9.0,29.0,7.0,723.3,0.0,45.0,3.0,0.0,15.76,4.4,239.0
2023-01-04 04:00:00,0.88,3.6,17.6,21.1,12.0,31.0,6.23,723.0,0.0,50.0,2.9,0.0,14.22,4.1,285.0
2023-01-04 05:00:00,0.83,6.2,22.3,28.4,8.0,22.0,5.97,723.3,0.0,52.0,2.9,0.0,13.92,4.8,272.0
2023-01-04 06:00:00,0.97,30.1,28.5,58.5,4.0,26.0,9.75,723.6,0.0,54.0,3.5,0.0,13.43,4.2,278.0
2023-01-04 07:00:00,1.19,55.0,30.8,85.6,3.0,57.0,11.58,724.2,0.0,53.0,4.0,0.0,13.48,4.5,280.0
2023-01-04 08:00:00,1.52,77.7,30.4,108.0,3.0,65.0,11.11,724.8,0.0,56.0,3.8,0.008,13.17,5.4,283.0
2023-01-04 09:00:00,1.76,87.9,33.0,120.8,4.0,81.0,11.99,725.9,0.0,44.0,4.6,0.085,16.87,4.9,273.0
2023-01-04 10:00:00,1.32,31.5,33.3,64.7,12.0,90.0,16.54,726.7,0.0,32.0,8.3,0.218,20.74,5.3,250.0
2023-01-04 11:00:00,1.16,16.7,29.3,46.0,21.0,103.0,13.52,727.0,0.0,27.0,6.7,0.316,22.96,6.0,76.0
2023-01-04 12:00:00,1.03,8.3,19.4,27.6,35.0,82.5,13.11,726.7,0.0,26.0,8.3,0.38,23.48,10.6,82.0
2023-01-04 13:00:00,1.0,6.1,18.6,24.8,49.0,62.0,14.3,726.2,0.0,26.0,15.1,0.403,24.3,11.3,77.0
2023-01-04 14:00:00,1.02,5.4,15.4,20.7,55.0,94.0,18.63,725.3,0.0,27.0,12.1,0.389,24.85,14.0,89.0
2023-01-04 15:00:00,1.0,4.2,13.8,17.9,72.0,85.0,17.8,724.9,0.0,25.0,17.5,0.335,25.58,15.4,95.0
2023-01-04 16:00:00,0.99,4.2,12.2,16.3,62.0,73.0,12.96,724.6,0.0,25.0,15.6,0.246,25.83,15.4,108.0
2023-01-04 17:00:00,0.98,4.1,13.9,17.9,58.0,68.0,12.43,724.4,0.0,27.0,9.1,0.137,25.31,15.2,116.0
2023-01-04 18:00:00,1.04,4.2,15.2,19.3,43.0,59.0,12.03,724.5,0.0,30.0,5.2,0.017,24.25,13.7,108.0
2023-01-04 19:00:00,0.96,3.9,13.4,17.3,38.0,55.0,9.92,724.9,0.0,31.0,3.7,0.0,23.49,11.9,124.0
2023-01-04 20:00:00,1.0,4.9,17.8,22.6,31.0,40.0,9.39,725.6,0.0,32.0,3.1,0.0,23.22,9.6,151.0
2023-01-04 21:00:00,1.19,10.0,32.0,41.9,19.0,34.0,11.65,726.1,0.0,36.0,3.2,0.0,21.65,7.0,220.0
2023-01-04 22:00:00,1.14,7.3,29.0,36.2,20.0,50.0,12.74,726.5,0.0,39.0,3.7,0.0,20.45,9.6,136.0
2023-01-04 23:00:00,0.87,3.5,9.1,12.5,34.0,51.0,12.23,726.7,0.0,40.0,4.3,0.0,19.96,18.7,108.0
2023-01-05 00:00:00,0.87,3.2,10.9,14.0,31.0,76.0,9.33,727.2,0.0,43.0,3.2,0.0,19.41,8.6,136.0
2023-01-05 01:00:00,1.05,6.1,23.3,29.4,16.0,36.0,9.52,727.3,0.0,50.0,3.1,0.0,17.28,3.9,159.0
2023-01-05 02:00:00,1.08,7.4,29.4,36.8,8.0,36.0,10.61,727.2,0.0,57.0,3.1,0.0,15.4,3.6,274.0
2023-01-05 03:00:00,1.01,4.9,24.0,28.9,9.0,39.0,10.45,727.0,0.0,60.0,3.0,0.0,14.77,3.6,224.0
2023-01-05 04:00:00,1.04,4.0,28.6,32.6,7.0,36.0,13.54,727.0,0.0,62.0,4.1,0.0,14.27,4.4,277.0
2023-01-05 05:00:00,1.13,11.2,31.5,42.7,4.0,56.0,18.27,727.3,0.0,61.0,4.2,0.0,14.27,5.5,243.0
2023-01-05 06:00:00,1.14,20.8,33.5,54.2,3.0,70.0,20.56,727.3,0.0,62.0,5.0,0.0,13.72,7.1,292.0
