Date,SUROESTE CO ppm,SUROESTE NO ppb,SUROESTE NO2 ppb,SUROESTE NOX ppb,SUROESTE O3 ppb,SUROESTE PM10 ug/m3,SUROESTE PM2.5 ug/m3,SUROESTE PRS mmhg,SUROESTE RAINF mm/hr,SUROESTE RH %,SUROESTE SO2 ppb,SUROESTE SR Kw/m2,SUROESTE TOUT degC,SUROESTE WSR KMPH,SUROESTE WDV DEG
2023-01-01 00:00:00,3.67,53.1,40.6,93.6,8.0,221.0,46.274,701.2,0.0,55.0,4.4,0.0,15.66,2.9,307.0
2023-01-01 01:00:00,3.9,64.7,38.0,102.7,8.0,267.0,105.672,700.9,0.0,58.0,4.9,0.0,15.04,2.2,310.0
2023-01-01 02:00:00,4.28,77.7,35.7,113.4,8.0,320.0,187.6,700.6,0.0,58.0,5.5,0.0,15.13,2.7,270.0
2023-01-01 03:00:00,3.15,57.0,34.6,91.6,6.0,361.0,129.0,700.1,0.0,55.0,5.2,0.0,15.33,3.2,271.0
2023-01-01 04:00:00,2.32,26.9,31.8,58.7,6.0,166.0,74.0,700.1,0.0,52.0,5.1,0.0,15.53,2.5,260.0
2023-01-01 05:00:00,1.95,24.8,32.2,57.0,5.0,94.0,54.0,700.2,0.0,53.0,4.7,0.0,14.5,3.7,274.0
2023-01-01 06:00:00,1.77,19.5,27.1,46.6,6.0,76.0,42.0,700.3,0.0,52.0,4.5,0.0,14.13,2.9,269.0
2023-01-01 07:00:00,1.95,24.0,25.9,49.9,5.0,61.0,45.0,700.5,0.0,55.0,4.2,0.0,13.17,1.6,261.0
2023-01-01 08:00:00,1.52,8.1,22.2,30.3,6.0,64.0,30.0,700.8,0.0,51.0,4.1,0.002,13.87,3.3,261.0
2023-01-01 09:00:00,1.43,18.8,23.5,42.3,7.0,48.0,22.0,701.2,0.0,39.0,4.8,0.126,18.07,2.3,281.0
2023-01-01 10:00:00,1.32,15.2,24.5,39.7,16.0,53.0,23.0,701.4,0.0,30.0,5.6,0.273,23.11,1.3,359.0
2023-01-01 11:00:00,1.03,8.5,13.2,21.7,23.0,40.0,12.0,701.2,0.0,20.0,6.9,0.4,27.71,0.4,58.0
2023-01-01 12:00:00,0.96,7.1,9.0,16.1,30.0,34.0,8.0,700.6,0.0,17.0,4.9,0.487,29.05,3.2,139.0
2023-01-01 13:00:00,0.89,5.9,6.4,12.3,35.0,23.0,5.0,699.8,0.0,15.0,3.7,0.52,29.9,4.5,95.0
2023-01-01 14:00:00,0.95,6.3,8.8,15.1,37.0,15.0,6.0,698.9,0.0,16.0,4.0,0.474,29.95,7.9,98.0
2023-01-01 15:00:00,0.98,5.8,11.7,17.5,43.0,16.0,9.0,698.1,0.0,17.0,5.4,0.432,29.92,11.5,113.0
