Date,SURESTE2 CO ppm,SURESTE2 NO ppb,SURESTE2 NO2 ppb,SURESTE2 NOX ppb,SURESTE2 O3 ppb,SURESTE2 PM10 ug/m3,SURESTE2 PM2.5 ug/m3,SURESTE2 PRS mmhg,SURESTE2 RAINF mm/hr,SURESTE2 RH %,SURESTE2 SO2 ppb,SURESTE2 SR KW/m2,SURESTE2 TOUT DegC,SURESTE2 WSR KMPH,SURESTE2 WDR Deg
2023-01-01 00:00:00,2.91,36.6,33.6,70.2,10.0,100.0,66.6,714.1,0.0,57.0,3.0,0.0,18.64,1.4,55.0
2023-01-01 01:00:00,4.8,94.3,32.7,127.0,13.0,198.0,148.0,722.0,0.0,68.0,3.9,0.0,17.34,0.5,14.0
2023-01-01 02:00:00,6.58,144.0,29.6,173.6,13.0,436.0,500.4,721.9,0.0,70.0,5.0,0.0,16.6,1.3,227.0
2023-01-01 03:00:00,6.95,173.2,27.4,200.6,11.0,558.0,209.8,721.7,0.0,73.0,5.1,0.0,15.81,1.4,237.0
2023-01-01 04:00:00,6.77,151.7,23.6,175.3,12.0,551.0,192.2,721.7,0.0,75.0,4.7,0.0,15.0,1.4,234.0
2023-01-01 05:00:00,4.07,62.8,28.6,91.4,8.0,596.0,133.4,721.7,0.0,74.0,4.0,0.0,14.99,1.9,251.0
2023-01-01 06:00:00,2.48,17.1,31.6,48.8,7.0,276.0,89.2,721.7,0.0,70.0,3.9,0.0,15.32,2.3,247.0
2023-01-01 07:00:00,2.52,29.6,30.7,60.3,6.0,174.0,75.2,721.7,0.0,69.0,3.8,0.0,15.07,1.4,226.0
2023-01-01 08:00:00,3.46,77.2,25.1,102.2,7.0,166.0,81.2,721.9,0.0,72.0,3.7,0.016,13.95,1.4,214.0
2023-01-01 09:00:00,2.71,49.3,28.9,78.2,7.0,228.0,68.7,722.1,0.0,61.0,3.9,0.119,16.54,1.2,182.0
2023-01-01 10:00:00,1.67,12.9,20.4,33.3,14.0,159.0,59.6,722.2,0.0,52.0,4.2,0.231,20.36,1.4,122.0
2023-01-01 11:00:00,1.53,6.6,14.5,21.1,29.0,95.0,28.6,722.2,0.0,46.0,4.2,0.302,23.35,1.4,100.0
2023-01-01 12:00:00,1.41,5.6,12.6,18.3,42.0,97.0,21.2,722.0,0.0,37.0,4.3,0.051,26.37,1.4,112.0
2023-01-01 13:00:00,1.29,5.0,10.7,15.6,52.0,73.0,21.4,721.6,0.0,29.0,3.8,0.3,29.56,1.3,107.0
2023-01-01 14:00:00,1.25,4.5,10.0,14.5,64.0,62.0,18.2,721.1,0.0,23.0,3.6,0.364,31.8,0.7,341.0
2023-01-01 15:00:00,1.21,4.6,10.7,15.3,68.0,72.0,18.4,720.8,0.0,20.0,3.3,0.305,32.8,1.4,48.0
2023-01-01 16:00:00,1.22,4.2,10.7,15.0,83.0,58.0,23.4,720.7,0.0,21.0,25.6,0.212,32.43,7.2,32.0
2023-01-01 17:00:00,1.29,3.9,15.8,19.7,92.0,76.0,23.4,720.8,0.0,24.0,20.950000000000003,0.103,30.94,5.6,41.0
2023-01-01 18:00:00,1.64,4.9,34.9,39.8,51.0,93.0,23.4,720.8,0.0,28.0,16.3,0.018,28.91,4.0,60.0
2023-01-01 19:00:00,2.37,13.4,62.6,76.0,23.0,88.0,22.8,720.9,0.0,33.0,9.6,0.0,26.64,1.2,102.0
2023-01-01 20:00:00,2.44,10.6,58.4,68.9,16.0,153.0,49.0,721.1,0.0,38.0,8.2,0.0,24.85,1.0,70.0
2023-01-01 21:00:00,2.47,21.8,52.4,74.3,7.0,151.0,57.2,721.3,0.0,44.0,6.0,0.0,23.59,1.4,58.0
2023-01-01 22:00:00,2.29,26.6,43.2,69.8,7.0,142.0,42.6,721.1,0.0,52.0,5.2,0.0,22.28,1.3,74.0
2023-01-01 23:00:00,1.66,12.8,23.9,36.7,13.0,134.0,32.0,721.0,0.0,57.0,3.9,0.0,21.32,2.7,93.0
2023-01-02 00:00:00,1.39,5.0,19.5,24.5,17.0,94.0,34.4,720.9,0.0,56.0,3.5,0.0,21.21,1.2,59.0
2023-01-02 01:00:00,1.26,4.4,12.1,16.5,20.0,70.0,31.8,720.7,0.0,65.0,3.1,0.0,20.32,3.5,39.0
2023-01-02 02:00:00,1.42,6.7,19.7,26.4,11.0,59.0,32.4,720.6,0.0,72.0,3.1,0.0,18.9,1.0,190.0
2023-01-02 03:00:00,1.27,4.3,12.2,16.6,13.0,67.0,27.0,720.4,0.0,77.0,2.9499999999999997,0.0,18.16,1.4,266.0
2023-01-02 04:00:00,1.16,4.1,9.9,14.0,13.0,57.0,22.8,720.4,0.0,83.0,2.8,0.0,17.75,1.5,261.0
2023-01-02 05:00:00,1.25,10.2,14.9,25.1,10.0,57.0,28.8,720.4,0.0,85.0,2.7,0.0,17.9,2.0,247.0
2023-01-02 06:00:00,1.48,32.3,22.7,55.0,6.0,72.0,35.0,720.4,0.0,86.0,2.8,0.0,17.44,2.9,220.0
2023-01-02 07:00:00,1.81,52.7,24.4,77.1,5.0,86.0,38.4,720.5,0.0,85.0,2.9,0.0,17.19,1.8,219.0
2023-01-02 08:00:00,2.33,78.8,24.7,103.5,5.0,105.0,53.0,720.7,0.0,85.0,3.1,0.017,16.75,0.9,142.0
2023-01-02 09:00:00,2.84,89.8,26.8,116.6,6.0,126.0,45.8,720.8,0.0,80.0,3.4,0.065,17.82,1.2,94.0
2023-01-02 10:00:00,2.08,37.6,24.5,62.1,10.0,180.0,47.6,720.8,0.0,71.0,3.6,0.145,19.57,0.7,58.0
2023-01-02 11:00:00,1.78,21.0,24.2,45.2,16.0,126.0,62.8,721.0,0.0,60.0,4.5,0.212,22.94,0.5,146.0
2023-01-02 12:00:00,1.68,12.4,25.0,37.4,28.0,99.0,37.8,720.8,0.0,42.0,5.3,0.141,27.02,1.1,130.0
2023-01-02 13:00:00,1.3,6.7,13.4,20.2,41.0,103.0,28.0,720.5,0.0,30.0,4.9,0.246,29.4,1.3,104.0
2023-01-02 14:00:00,1.34,7.7,18.5,26.3,45.0,68.0,21.8,720.2,0.0,27.0,4.6,0.287,30.74,0.9,156.0
2023-01-02 15:00:00,1.78,8.5,20.2,28.6,45.0,83.0,18.4,719.9,0.0,23.0,4.3,0.225,30.96,3.6,102.0
2023-01-02 16:00:00,1.5,9.6,23.1,32.7,40.0,80.0,28.6,719.7,0.0,22.0,4.3,0.16,30.89,3.1,118.0
2023-01-02 17:00:00,1.5,14.3,32.5,46.8,32.0,75.0,23.0,719.6,0.0,26.0,9.5,0.081,30.29,2.8,119.0
2023-01-02 18:00:00,1.83,17.6,40.4,58.0,22.0,109.0,32.4,719.7,0.0,31.0,13.3,0.024,28.25,5.4,133.0
2023-01-02 19:00:00,1.83,20.9,38.9,59.8,20.0,111.0,60.8,719.8,0.0,35.0,16.3,0.001,25.91,2.5,161.0
2023-01-02 20:00:00,2.64,59.2,46.2,105.4,9.0,147.0,51.8,720.0,0.0,38.0,9.5,0.0,24.29,1.4,174.0
2023-01-02 21:00:00,4.14,155.4,45.9,201.3,8.0,248.0,112.2,720.3,0.0,41.0,6.1,0.0,22.92,1.0,236.0
2023-01-02 22:00:00,4.48,167.7,41.2,208.9,8.0,303.0,120.0,720.4,0.0,46.0,4.9,0.0,21.32,0.3,312.0
2023-01-02 23:00:00,4.89,202.2,36.4,238.6,8.0,331.0,104.6,720.4,0.0,49.0,4.7,0.0,20.14,0.6,214.0
2023-01-03 00:00:00,3.34,121.6,41.5,163.1,7.0,342.0,124.4,720.5,0.0,50.0,6.4,0.0,19.79,1.5,254.0
2023-01-03 01:00:00,3.53,137.3,47.4,184.7,7.0,239.0,138.2,720.6,0.0,50.0,7.0,0.0,19.69,1.3,236.0
2023-01-03 02:00:00,2.36,72.7,44.3,117.0,7.0,212.0,108.6,720.6,0.0,41.0,10.2,0.0,20.56,5.3,247.0
2023-01-03 03:00:00,1.92,37.9,43.2,81.2,6.0,137.0,68.6,720.6,0.0,37.0,11.7,0.0,21.45,3.2,268.0
2023-01-03 04:00:00,1.46,13.4,35.0,48.4,7.0,121.0,51.0,720.8,0.0,34.0,8.3,0.0,21.45,2.4,264.0
2023-01-03 05:00:00,1.16,7.4,23.5,30.9,9.0,125.0,42.2,720.8,0.0,31.0,6.1,0.0,20.8,2.7,259.0
2023-01-03 06:00:00,1.18,5.6,22.4,28.0,11.0,139.0,22.2,720.8,0.0,27.0,5.3,0.0,22.75,12.1,249.0
2023-01-03 07:00:00,1.11,6.4,21.3,27.6,12.0,142.0,33.0,721.1,0.0,26.0,3.8,0.0,23.09,10.5,252.0
2023-01-03 08:00:00,1.1,5.6,17.7,23.3,17.0,102.0,23.6,721.3,0.0,32.0,3.8,0.016,20.1,11.6,251.0
2023-01-03 09:00:00,1.2,12.4,21.1,33.5,18.0,77.0,38.8,721.7,0.0,31.0,3.75,0.101,19.38,8.2,241.0
2023-01-03 10:00:00,1.29,18.2,20.5,38.6,20.0,95.0,46.8,721.9,0.0,28.0,3.7,0.237,20.99,7.7,231.0
2023-01-03 11:00:00,1.27,15.9,18.5,34.3,24.0,121.0,30.6,721.9,0.0,25.0,2.9,0.32,23.44,5.0,234.0
2023-01-03 12:00:00,1.22,12.9,15.7,28.7,28.0,95.0,15.6,721.8,0.0,21.0,2.9,0.074,26.08,1.5,236.0
2023-01-03 13:00:00,1.05,7.9,10.9,18.7,34.0,91.0,17.2,721.4,0.0,18.0,2.8000000000000003,0.276,28.36,0.2,269.0
